num,name,price,type,star,sold,from,img_src,url
19,กระเทียมไทย  ตัดหัวคัดเกรดA หัวใหญ่ 1กิโลละ65รับประกันหัวไม่หลีบ ไม่มีผ่อ สด ใหม่จากสวน,฿65,general,4.8889,22.0,จังหวัดพะเยา,https://cf.shopee.co.th/file/e2dcf64354a23d41c99f594af5a12bda_tn,https://shopee.co.th//กระเทียมไทย-ตัดหัวคัดเกรดA-หัวใหญ่-1กิโลละ65รับประกันหัวไม่หลีบ-ไม่มีผ่อ-สด-ใหม่จากสวน-i.75221546.7938963785
20,กระเทียมโทนสด กระเทียมโทน 1 กิโลกรัม,฿179,general,4.3889,53.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/e795101071980f45058b6d33227d5615_tn,https://shopee.co.th//กระเทียมโทนสด-กระเทียมโทน-1-กิโลกรัม-i.350853420.5371358405
21,ผักสด พริก กระเทียมหอมใหญ่ มันฝรั่ง มะเขือเทศ,฿20 - ฿40,general,4.8723,168.0,จังหวัดตราด,https://cf.shopee.co.th/file/c1621b844c5bbc8970e1c95ee51876d9_tn,https://shopee.co.th//ผักสด-พริก-กระเทียมหอมใหญ่-มันฝรั่ง-มะเขือเทศ-i.13632010.7920593670
22,กระเทียมโทนสด 500 g จังหวัดเชียงใหม่,฿80,ร้านแนะนำ,4.7959,98.0,จังหวัดเชียงใหม่,https://cf.shopee.co.th/file/62c61a52d544ab3a99c8654ec0261dc3_tn,https://shopee.co.th//กระเทียมโทนสด-500-g-จังหวัดเชียงใหม่-i.54833404.1598034806
23,กระเทียมโทนแก่สด Fresh aged garlic สมุนไพรไทย สำหรับประกอบอาหารและรับประทานดิบเพื่อสุขภาพ น้ำหนัก 500 กรัม,฿89,general,0.0,no sold,จังหวัดพิษณุโลก,https://cf.shopee.co.th/file/59e250d50cf0f21be6d6ec411a609b18_tn,https://shopee.co.th//กระเทียมโทนแก่สด-Fresh-aged-garlic-สมุนไพรไทย-สำหรับประกอบอาหารและรับประทานดิบเพื่อสุขภาพ-น้ำหนัก-500-กรัม-i.165193270.9656679692
24,กระเทียมดำ B-Garlic กระเทียมโทน สด อบ 60 กรัม ความดัน เบาหวาน 365wecare,฿78,ร้านแนะนำ,4.8276,110.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/c55c12af666af2577430b8f61d24b669_tn,https://shopee.co.th//กระเทียมดำ-B-Garlic-กระเทียมโทน-สด-อบ-60-กรัม-ความดัน-เบาหวาน-365wecare-i.59421184.2348604183
25,น้ำขิงกระเทียมโทนสด สกัดเข้มข้น ไม่ผสมน้ำ จากภูมิปัญญาไทยโบราณสู่รุ่นปัจจุบัน,฿200 - ฿390,ร้านแนะนำ,4.8972,200.0,จังหวัดปทุมธานี,https://cf.shopee.co.th/file/e88b2692538865c317c1263a7804ba5f_tn,https://shopee.co.th//น้ำขิงกระเทียมโทนสด-สกัดเข้มข้น-ไม่ผสมน้ำ-จากภูมิปัญญาไทยโบราณสู่รุ่นปัจจุบัน-i.26823768.4745505593
26,กระเทียมโทนสด ป่าไผ่  ถุง 1 โล,฿180,general,4.9182,526.0,จังหวัดปทุมธานี,https://cf.shopee.co.th/file/8371afd4bf527bc0f5b44517f0bde30b_tn,https://shopee.co.th//กระเทียมโทนสด-ป่าไผ่-ถุง-1-โล-i.76165427.1278581048
27,กระเทียมโทนสด คัดพิเศษเม็ดใหญ่  รักษาโรค ลดความดัน สลายไขมันในหลอดเลือด เสริมสร้างภูมิคุ้มกัน ป้องกันไวรัส,฿39 - ฿55,general,0.0,no sold,จังหวัดลำปาง,https://cf.shopee.co.th/file/7924ea280e3ece94a46f64932e3c1b0b_tn,https://shopee.co.th//กระเทียมโทนสด-คัดพิเศษเม็ดใหญ่-รักษาโรค-ลดความดัน-สลายไขมันในหลอดเลือด-เสริมสร้างภูมิคุ้มกัน-ป้องกันไวรัส-i.46293353.4688966695
28,ขายส่งถูกสุด 🔥 ปังกระเทียม🍞 ใหม่สดทุกวัน🌈,฿260,general,5.0,2.0,จังหวัดปทุมธานี,https://cf.shopee.co.th/file/efb31304a3d209fd9e9a3e7b5230c80c_tn,https://shopee.co.th//ขายส่งถูกสุด-🔥-ปังกระเทียม🍞-ใหม่สดทุกวัน🌈-i.8423499.3161500926
29,🔺️น้ำขิงกระเทียมโทนกระชายสด🔺️ สกัดเข้มข้นไม่ผสมน้ำ สูตรใหม่ ผสมกระชาย,฿244 - ฿423,ร้านแนะนำ,4.9231,18.0,จังหวัดปทุมธานี,https://cf.shopee.co.th/file/de7f9dba2f50e1f07fcab5da7d13b01d_tn,https://shopee.co.th//🔺️น้ำขิงกระเทียมโทนกระชายสด🔺️-สกัดเข้มข้นไม่ผสมน้ำ-สูตรใหม่-ผสมกระชาย-i.26823768.9917957650
30,กระเทียมโทนสด ป่าไผ่ ถุงครึ่งโล,฿100,general,4.8947,204.0,จังหวัดปทุมธานี,https://cf.shopee.co.th/file/8d23a92c193361a161d97183d60ca3ef_tn,https://shopee.co.th//กระเทียมโทนสด-ป่าไผ่-ถุงครึ่งโล-i.76165427.5809285541
31,"🧄กระเทียมโทน🧄 ขนาด 500 กรัม,1 กิโลกรัม ✅คัดเกรด คุณภาพดี เม็ดใหญ่ เนื้อแน่น เกรด A สดใหม่ ไม่ลีบไม่ฝ่อ",฿80 - ฿160,ร้านแนะนำ,5.0,5.0,จังหวัดสมุทรปราการ,https://cf.shopee.co.th/file/2018f5a9080d970aa8c5ab9042e8d7fe_tn,https://shopee.co.th//🧄กระเทียมโทน🧄-ขนาด-500-กรัม-1-กิโลกรัม-✅คัดเกรด-คุณภาพดี-เม็ดใหญ่-เนื้อแน่น-เกรด-A-สดใหม่-ไม่ลีบไม่ฝ่อ-i.323273381.6161632897
32,กระเทียมสด​ 500​ กรัม​ กระเทียมจีน,฿75,ร้านแนะนำ,5.0,2.0,จังหวัดสงขลา,https://cf.shopee.co.th/file/32e706b1ac9e9db22aaa83d3854e47b0_tn,https://shopee.co.th//กระเทียมสด​-500​-กรัม​-กระเทียมจีน-i.76486580.3234974484
33,กระเทียมโทนสด คัดพิเศษ หัวใหญ่ AAA 500 กรัม,฿149,general,0.0,no sold,จังหวัดเชียงใหม่,https://cf.shopee.co.th/file/786141e748906689571fe17ace149124_tn,https://shopee.co.th//กระเทียมโทนสด-คัดพิเศษ-หัวใหญ่-AAA-500-กรัม-i.147028162.5788913636
34,🔥สินค้าคุณภาพดีราคาถูก🔥✑[กระเทียมสดที่ตอแรก] ขุดใหม่ผิวม่วงเหอหนานหัวกระเทียมใหม่กระเทียมสดกระเทียมเปียกกระเทียมเปรี้1,฿457 - ฿627,general,0.0,no sold,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/4ff32eda09b5ee7bdd9868b33de72f8e_tn,https://shopee.co.th//🔥สินค้าคุณภาพดีราคาถูก🔥✑-กระเทียมสดที่ตอแรก-ขุดใหม่ผิวม่วงเหอหนานหัวกระเทียมใหม่กระเทียมสดกระเทียมเปียกกระเทียมเปรี้1-i.375564515.10904070474
35,🔥ราคาส่ง💖พร้อมส่ง 🧡ราคาถูก 🔥∈◄▣10 กก. ยูนนานสีม่วงผิวกระเทียมสด Squarage 4 2 ki เลือกหัวกระเทียมสดขายส่งเจ้าของทั้11,฿98 - ฿247,general,0.0,no sold,จังหวัดพระนครศรีอยุธยา,https://cf.shopee.co.th/file/591bedc2a6edc0505d8518ac0ab00f40_tn,https://shopee.co.th//🔥ราคาส่ง💖พร้อมส่ง-🧡ราคาถูก-🔥∈◄▣10-กก.-ยูนนานสีม่วงผิวกระเทียมสด-Squarage-4-2-ki-เลือกหัวกระเทียมสดขายส่งเจ้าของทั้11-i.397899515.8356014042
36,Set 2 ขวด น้ำขิงกระเทียมโทนสด สกัดเข้มข้น ไม่ผสมน้ำ จากภูมิปัญญาไทยโบราณสู่รุ่นปัจจุบัน.,"฿1,322",general,0.0,no sold,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/26bf86f90f5d86e2791a8fede4ef0acb_tn,https://shopee.co.th//Set-2-ขวด-น้ำขิงกระเทียมโทนสด-สกัดเข้มข้น-ไม่ผสมน้ำ-จากภูมิปัญญาไทยโบราณสู่รุ่นปัจจุบัน.-i.423722696.10104317033
37,หัวหลักเกียวดอง กระเทียมดอง หอมดอง หอมดอง 3 รส หอมดองสูตรยูนนาน 500 กรัม (ครึ่งกิโลกรัม) อร่อยสุด ๆ สด ๆ ใหม่ ๆ สินค้...,฿120,general,5.0,10.0,จังหวัดเชียงใหม่,https://cf.shopee.co.th/file/4142fe8f5411e9521874498c7f5d67ac_tn,https://shopee.co.th//หัวหลักเกียวดอง-กระเทียมดอง-หอมดอง-หอมดอง-3-รส-หอมดองสูตรยูนนาน-500-กรัม-(ครึ่งกิโลกรัม)-อร่อยสุด-ๆ-สด-ๆ-ใหม่-ๆ-สินค้...-i.181418372.7344202532
38,∈✁✚ผงกระเทียมบดป่น กลิ่นแรงกว่ากระเทียมสด,฿373 - ฿853,general,0.0,no sold,จังหวัดฉะเชิงเทรา,https://cf.shopee.co.th/file/bb7cd283b8973f94043f2ae4187ef0d9_tn,https://shopee.co.th//∈✁✚ผงกระเทียมบดป่น-กลิ่นแรงกว่ากระเทียมสด-i.432250915.10103405807
39,【หม้อ】✔♨ยูนนานต้าหลี่สีม่วงผิวหลายโคลนกระเทียมขุดสดและสดกระเทียมเปียกกระเทียมผิวแดง laba กระเทียมแห้งขายส่งจัดส่งฟรี,฿189 - ฿307,general,0.0,no sold,จังหวัดสมุทรสาคร,https://cf.shopee.co.th/file/ecea128c024a5e5a21cac14404d1cc6f_tn,https://shopee.co.th//【หม้อ】✔♨ยูนนานต้าหลี่สีม่วงผิวหลายโคลนกระเทียมขุดสดและสดกระเทียมเปียกกระเทียมผิวแดง-laba-กระเทียมแห้งขายส่งจัดส่งฟรี-i.378904817.11503892635
40,ผงกระเทียมบดป่น กลิ่นแรงกว่ากระเทียมสด,฿321 - ฿640,general,0.0,no sold,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/b16b7b1f94b9e7924b04a9a7a67e6549_tn,https://shopee.co.th//ผงกระเทียมบดป่น-กลิ่นแรงกว่ากระเทียมสด-i.409732290.11104135156
41,กระเทียมไทยแกะกลีบสดใหม่ 100 กรัม(1 ขีด),฿15,general,4.5,9.0,จังหวัดนครศรีธรรมราช,https://cf.shopee.co.th/file/573e461613c360cafb7c9efdee2e0b1e_tn,https://shopee.co.th//กระเทียมไทยแกะกลีบสดใหม่-100-กรัม(1-ขีด)-i.16873556.6410503015
42,กระเทียมโทน สด คัดเกรด บรรจุ 1 กิโลกรัม Fresh Solo Garlic 1 kg.,฿179,general,4.5,44.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/d0883201ec80c5cdece2838022dd8433_tn,https://shopee.co.th//กระเทียมโทน-สด-คัดเกรด-บรรจุ-1-กิโลกรัม-Fresh-Solo-Garlic-1-kg.-i.47611123.3571334160
43,▬♠Yunnan Dali สีม่วงหลายกลีบกระเทียมสดขุดกระเทียมสด กระเทียมเจียวแบบเปียกผิวแดงลาบากระเทียมแห้งขายส่ง,฿136 - ฿224,general,0.0,no sold,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/0bbed844a4769c488f9cccc9f1ac73a3_tn,https://shopee.co.th//▬♠Yunnan-Dali-สีม่วงหลายกลีบกระเทียมสดขุดกระเทียมสด-กระเทียมเจียวแบบเปียกผิวแดงลาบากระเทียมแห้งขายส่ง-i.424468530.11203958876
44,กระเทียม สด กลีบใหญ่ ขนาด500 กรัม,฿72,general,4.5,16.0,จังหวัดปัตตานี,https://cf.shopee.co.th/file/e2410726d5c865eb3187e81a30faef0b_tn,https://shopee.co.th//กระเทียม-สด-กลีบใหญ่-ขนาด500-กรัม-i.13606735.7400544587
45,"กระเทียม หัวใหญ่,หัวเล็ก",฿80 - ฿100,general,0.0,no sold,จังหวัดศรีสะเกษ,https://cf.shopee.co.th/file/010047c3b4af948ac950055ae92742f2_tn,https://shopee.co.th//กระเทียม-หัวใหญ่-หัวเล็ก-i.400733904.9438851718
46,ครูตองซ์ เนยกระเทียม (Garlic Croutons)สดใหม่ทำตามออเดอร์,฿59,general,5.0,18.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/a5dd5be07f0d9b7ca9d2d1cffb983194_tn,https://shopee.co.th//ครูตองซ์-เนยกระเทียม-(Garlic-Croutons)สดใหม่ทำตามออเดอร์-i.272049296.5438158629
47,กระเทียมดำ Black Garlic,฿403 - ฿679,general,0.0,no sold,จังหวัดระยอง,https://cf.shopee.co.th/file/fa91461cd19d8fd2545b28afed3bbfdf_tn,https://shopee.co.th//กระเทียมดำ-Black-Garlic-i.41992033.5862623271
48,กระเทียม กระเทียมปอกเปลือก กระเทียมแกะ พร้อมทาน อาหารพร้อมทาน วัตถุดิบทำอาหาร คัดสรรคุณภาพ ผลิตตามออเดอร์เท่านั้น,฿45 - ฿120,general,0.0,2.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/5d457d731b0f308ddac39189f328c5a2_tn,https://shopee.co.th//กระเทียม-กระเทียมปอกเปลือก-กระเทียมแกะ-พร้อมทาน-อาหารพร้อมทาน-วัตถุดิบทำอาหาร-คัดสรรคุณภาพ-ผลิตตามออเดอร์เท่านั้น-i.89678924.5787200004
49,หอมกระเทียม (แพ็คละ 500 กรัม),฿59,general,5.0,1.0,จังหวัดภูเก็ต,https://cf.shopee.co.th/file/b49a03fc9f44dfd60cb61af75cdae67d_tn,https://shopee.co.th//หอมกระเทียม-(แพ็คละ-500-กรัม)-i.229770615.7856864223
50,เมล็ดพันธุ์ กระเทียมต้น 200 เมล็ด American Flag's Leek เมล็ดพันธุ์แท้100%นำเข้าจากต่างประเทศ ปลูกผัก สวนครัว เพาะง่าย,฿10 - ฿50,ร้านแนะนำ,4.825,925.0,จังหวัดน่าน,https://cf.shopee.co.th/file/2521d5f678fd290ae3464d398d0e5bc5_tn,https://shopee.co.th//เมล็ดพันธุ์-กระเทียมต้น-200-เมล็ด-American-Flag's-Leek-เมล็ดพันธุ์แท้100-นำเข้าจากต่างประเทศ-ปลูกผัก-สวนครัว-เพาะง่าย-i.269793953.4156956399
51,304สแตนเลสกระเทียมกระเทียมกระเทียมครัวเครื่องมือ,฿189,ร้านแนะนำ,0.0,1.0,ต่างประเทศ,https://cf.shopee.co.th/file/5bb521eb661dbb3876c71799cc89e4f7_tn,https://shopee.co.th//304สแตนเลสกระเทียมกระเทียมกระเทียมครัวเครื่องมือ-i.332362397.6261770152
52,"🧄กระเทียมไทย เบอร์ 2 กลีบใหญ่🧄 ขนาด 500 กรัม,1 กิโลกรัม ✅คัดเกรด คุณภาพดี กระเทียมแกะกลีบ เกรด A สดใหม่ ไม่ลีบไม่ฝ่อ",฿50 - ฿100,ร้านแนะนำ,4.7273,19.0,จังหวัดสมุทรปราการ,https://cf.shopee.co.th/file/8186952ad8bab34a1970e0d59854de9f_tn,https://shopee.co.th//🧄กระเทียมไทย-เบอร์-2-กลีบใหญ่🧄-ขนาด-500-กรัม-1-กิโลกรัม-✅คัดเกรด-คุณภาพดี-กระเทียมแกะกลีบ-เกรด-A-สดใหม่-ไม่ลีบไม่ฝ่อ-i.323273381.3170344252
53,ขนมปังอบกรอบ กระเทียมชีส,฿42,general,0.0,no sold,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/25d1af5aa5b23cc4de624c91c8fd6fea_tn,https://shopee.co.th//ขนมปังอบกรอบ-กระเทียมชีส-i.16411714.3643030328
54,พร้อมส่ง เครื่องปั่นกระเทียม ผัก ผลไม้ เครื่องบดกระเทียมไฟฟ้า เครื่องบดพริกกระเทียม,฿125 - ฿165,general,0.0,no sold,จังหวัดชลบุรี,https://cf.shopee.co.th/file/f2798dbfd6e709d508ad49992e722699_tn,https://shopee.co.th//พร้อมส่ง-เครื่องปั่นกระเทียม-ผัก-ผลไม้-เครื่องบดกระเทียมไฟฟ้า-เครื่องบดพริกกระเทียม-i.3781560.11802393177
55,ที่บีบกระเทียม​ บีบพริกสด​ ไม่ต้องเสียเวลาทุบ​ ตำ​ มืิอไม่เหม็น,฿35,general,4.2308,30.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/564a5af38d84486d5893182bce4ad2e2_tn,https://shopee.co.th//ที่บีบกระเทียม​-บีบพริกสด​-ไม่ต้องเสียเวลาทุบ​-ตำ​-มืิอไม่เหม็น-i.277119088.4562757090
56,กระเทียมโทนสด#กระเทียมโทน,฿150,general,4.75,13.0,จังหวัดลำปาง,https://cf.shopee.co.th/file/71760ee836d597f67574b8d568ffd2c4_tn,https://shopee.co.th//กระเทียมโทนสด-กระเทียมโทน-i.50573751.1130111284
57,กระเทียมสดปอกเปลือก 500 กรัม/500 grams peeled fresh garlic,฿139,general,4.1429,14.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/66c63e3e435c0bbd26c63018f75cf795_tn,https://shopee.co.th//กระเทียมสดปอกเปลือก-500-กรัม-500-grams-peeled-fresh-garlic-i.258862090.7046199030
58,"กระเทียมไทยเจียว 
หอม กรอบ สดใหม่ น้ำหนัก 500 กรัม",฿98,general,4.5,2.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/c6dce74c044804fca6ae147d4b82babf_tn,https://shopee.co.th//กระเทียมไทยเจียว-หอม-กรอบ-สดใหม่-น้ำหนัก-500-กรัม-i.120418829.4900699370
59,Set 2 ขวด น้ำขิงกระเทียมโทนสด สกัดเข้มข้น ไม่ผสมน้ำ จากภูมิปัญญาไทยโบราณสู่รุ่นปัจจุบัน.,฿840,ร้านแนะนำ,5.0,15.0,จังหวัดปทุมธานี,https://cf.shopee.co.th/file/0da6d57f89be8a66ffbd8293f9cc9dbb_tn,https://shopee.co.th//Set-2-ขวด-น้ำขิงกระเทียมโทนสด-สกัดเข้มข้น-ไม่ผสมน้ำ-จากภูมิปัญญาไทยโบราณสู่รุ่นปัจจุบัน.-i.26823768.5454897005
60,ของแท้ ชาวสวนขายเอง กระเทียมสด 5 แดด แบบแต่ง 500 กรัม,฿38,general,0.0,no sold,จังหวัดอุตรดิตถ์,no image,https://shopee.co.th//ของแท้-ชาวสวนขายเอง-กระเทียมสด-5-แดด-แบบแต่ง-500-กรัม-i.7043955.8733099430
61,กระเทียมสด กระเทียมแก้ว Size M 💥ปลอดสารพิษ💥 เก็บได้นานไม่ฝ่อ,฿90,general,4.625,32.0,จังหวัดนครราชสีมา,no image,https://shopee.co.th//กระเทียมสด-กระเทียมแก้ว-Size-M-💥ปลอดสารพิษ💥-เก็บได้นานไม่ฝ่อ-i.59226588.3716965644
62,Set 2 ขวด น้ำขิงกระเทียมโทนสด สกัดเข้มข้น ไม่ผสมน้ำ จากภูมิปัญญาไทยโบราณสู่รุ่นปัจจุบัน.,฿432,ร้านแนะนำ,4.75,6.0,จังหวัดปทุมธานี,no image,https://shopee.co.th//Set-2-ขวด-น้ำขิงกระเทียมโทนสด-สกัดเข้มข้น-ไม่ผสมน้ำ-จากภูมิปัญญาไทยโบราณสู่รุ่นปัจจุบัน.-i.26823768.3454913549
63,ต้นกระเทียม สดใหม่ ออแกรนิค,฿50 - ฿90,general,5.0,2.0,จังหวัดปทุมธานี,no image,https://shopee.co.th//ต้นกระเทียม-สดใหม่-ออแกรนิค-i.4993861.9648147268
